com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_EmployerFinancialTransactions
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_UpdatedCompanies
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_LawRateHistory
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_DepositFrequencyHistory
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_PaymentMethodHistory
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_GetAgencyRules
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyAgenciesYearInfo
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyCourtesyFeeRefunds
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_QueryCompanyEmployeesWihPaycheckCount
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyLatestPayrollDates
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyEvent
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyPaymentTemplates
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_CompanyTaxRate
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_CompanyAgencyId
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_CompanyFilingFrequency
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_CreatePenaltiesAndInterestRefunds
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Authenticate
com.intuit.sbd.payroll.psp.adapters.brm.webservices.BRMWebServices,getUsageBillingEmployeeDetails
com.intuit.sbd.payroll.psp.adapters.qbdtws.webservices.BillPaymentWebServices,SendPaymentsToPayees
,VoidPayments
,QueryPaymentStatus
com.intuit.psp.payroll.api.resource.privileged.PrivilegedEmployer,getPayeeId
,getEmployeeId
,getPrivilegedEmployerBankAccount
,getPriviledgedEmployer
com.intuit.psp.payroll.api.resource.Employer,getEmployerInfoForCompanyName
,getEmployerByFedTaxId
,getEmployersByRealm
,ddLimitsUpdate
,getCompanyTaxPayment
,getEmployers
,getEmployerStrikes
,getEmployer
,getCompanySettings
,associateRealmIdToPSID
,eligibleCheckForDDActivation
,getEmployerInfoByRealms
,getEmployerByFEIN
,syncMoneyMovementAccount
,getEmployerGrants
com.intuit.psp.payroll.api.resource.SubscriptionDetails,getSubscriptionDetails
com.intuit.psp.payroll.api.resource.datamanager.DataManagerResource,findMydata
,dgDeleteData
com.intuit.psp.payroll.api.resource.IVRResource,getCustomerAccounts
com.intuit.psp.payroll.api.resource.VMPEmployeeResource,getEmployeesWithConsumerRealmId
,updateConsumerRealmId
,getEmployees
,updateVMPInvite
